record_id,age,gender,education_level,education_mismatch,sector_of_interest,current_employment_sector,formal_informal,region,location_type,monthly_income,region_employment_rate,regional_unemployment_rate,unemployment_duration,digital_skills_level,technical_skills,training_participation,program_type,household_income,household_size,employment_outcome,intervention_effectiveness,employment_duration_post_intervention,youth_unemployment_rate,urban_rural_employment_rate
1,21,Female,TVET,FALSE,Agriculture,Agriculture,Informal,Kigali,Urban,116417.11,62.63,25.35,None,Advanced,[o],TRUE,Business Development,Medium,2,TRUE,Moderately Effective,9,19.4,76.42
2,17,Female,TVET,FALSE,Retail,Retail,Informal,Kigali,Rural,102002.15,84.97,18.48,None,Intermediate,[],TRUE,Digital Skills,Medium,2,TRUE,Effective,11,19.4,31.11
3,17,Male,TVET,FALSE,Construction,Construction,Informal,Kigali,Urban,194184.21,61.7,29.55,None,Basic,[],FALSE,None,Medium,7,TRUE,Ineffective,10,19.4,70.7
4,25,Female,Primary or Less,FALSE,Education,Education,Formal,Kigali,Urban,151178.79,79.71,16.6,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Medium,2,TRUE,Moderately Effective,11,19.4,70.04
5,21,Male,Secondary,FALSE,Retail,Retail,Informal,Kigali,Urban,243337.48,71.86,27.23,None,Advanced,"['Marketing', 'Project Management']",FALSE,None,Medium,7,TRUE,Ineffective,2,19.4,57.05
6,24,Female,TVET,FALSE,Healthcare,Healthcare,Informal,Kigali,Urban,68692.73,72.88,20.5,None,Advanced,"['Marketing', 'Project Management']",TRUE,Digital Skills,Low,6,TRUE,Moderately Effective,4,19.4,53.54
7,20,Female,Secondary,FALSE,ICT,ICT,Formal,Northern,Rural,103588.44,54.76,17.01,None,Advanced,"['Marketing', 'Project Management']",TRUE,Digital Skills,Medium,3,TRUE,Moderately Effective,2,19.4,44.83
8,19,Male,Secondary,FALSE,Construction,Construction,Formal,Kigali,Urban,140839.9,54.61,11.19,None,Basic,"['Marketing', 'Project Management']",FALSE,None,High,6,TRUE,Moderately Effective,2,19.4,68.8
9,21,Female,Secondary,FALSE,Retail,None,None,Kigali,Urban,None,76.84,10.74,None,Basic,"['Marketing', 'Project Management']",TRUE,Digital Skills,Low,8,FALSE,None,None,19.4,55.2
10,20,Male,Secondary,FALSE,ICT,ICT,Informal,Kigali,Rural,234842.57,89.08,29.01,None,Basic,"['Marketing', 'Project Management']",TRUE,Business Development,Low,8,TRUE,Moderately Effective,5,19.4,31.48
11,19,Male,Primary or Less,FALSE,ICT,ICT,Informal,Kigali,Urban,243100.53,79.59,18.33,None,Basic,[],FALSE,None,High,5,TRUE,Ineffective,11,19.4,53.97
12,20,Female,University,FALSE,Retail,Retail,Formal,Eastern,Rural,139928.18,71.1,29.86,None,Intermediate,['Coding'],TRUE,Digital Skills,High,1,TRUE,Ineffective,3,19.4,34.94
13,23,Male,Secondary,TRUE,Education,None,None,Kigali,Urban,None,50.64,21,18,Basic,['Data Analysis'],TRUE,Business Development,Low,2,FALSE,None,None,19.4,72.13
14,22,Male,University,FALSE,ICT,None,None,Kigali,Urban,None,63.78,16.15,None,Advanced,"['Marketing', 'Project Management']",TRUE,Vocational Training,High,8,FALSE,None,None,19.4,70.68
